,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,ttm
0,TotalAssets,"216,540,734","277,253,385","264,180,282","246,236,538","248,494,344","293,426,429","394,922,598","350,377,267","264,522,677","220,200,935","177,383,630","114,784,583","133,934,509","85,352,611","78,468,049","68,631,949","52,553,952","42,489,271","42,103,003",
1,	CurrentAssets,"102,156,375","137,619,927","138,243,322","97,036,833","81,455,766","91,829,177","162,219,028","136,261,972","106,265,925","90,752,354","73,179,783","43,102,662","61,487,194","36,782,112","34,383,564","29,660,116","19,826,259","20,553,350","17,813,975",
2,		CashCashEquivalentsAndShortTermInvestments,"25,745,911","10,582,296","3,643,418","4,122,539","7,007,293","9,007,808","3,018,445","5,663,880","4,329,969","8,376,344","8,625,532","2,488,970","12,621,811","3,008,797","1,763,191","3,964,950","5,933,924","7,547,533","7,855,624",
3,			CashAndCashEquivalents,"25,745,911","10,582,296","3,643,418","4,122,539","7,007,293","9,007,808","3,018,445","5,663,880","4,329,969","8,376,344","8,625,532","2,488,970","12,621,811","3,008,797","1,763,191","3,964,950","5,933,924","7,547,533","7,855,624",
4,		Receivables,"43,412,710","93,641,885","104,613,680","67,988,933","46,846,285","49,691,091","122,272,125","97,660,559","67,189,884","63,209,860","50,612,370","31,505,996","41,096,467","29,943,706","30,355,422","24,481,382","12,572,297","11,352,987","9,050,184",
5,			AccountsReceivable,"43,193,310","93,641,885","103,987,716","66,635,311","41,552,796","44,694,812","122,272,125","97,660,559","67,189,884","63,209,860","50,314,306","28,660,353","40,773,509","29,943,706","30,355,422","24,481,382","12,307,097","9,406,962","8,261,384",
6,				GrossAccountsReceivable,"44,493,310","94,441,885",,,,,,,,,,,,,,,,,,
7,				AllowanceForDoubtfulAccountsReceivable,"-1,300,000","-800,000",,,,,,,,,,,,,,,,,,
8,			NotesReceivable,,,,,,,,,,,,,,,,,0,"1,944,750","788,800",
9,			TaxesReceivable,"219,400",0,"625,964","1,353,622","5,293,489","4,996,279",,,,0,"298,064","2,845,643","322,958",,,,,,,
10,			OtherReceivables,,,,,,,,,,,,,,,,,"265,200","1,275",,
