,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,ttm
0,TotalAssets,"187,249,000,000","200,169,000,000","185,830,000,000","162,048,477,313","144,413,901,668","118,842,591,960","31,290,917,013","20,818,474,462","11,669,751,008","9,761,434,778","8,116,204,013","4,156,759,697","2,560,566,316","2,127,996,869.321","1,450,624,661.53","1,036,324,672.978","740,718,059.014","557,302,682.181","97,266,380.406","108,925,000","117,890,000",
1,	CurrentAssets,"58,011,000,000","67,955,000,000","79,394,000,000","59,226,820,149","45,911,441,840","40,600,868,431","17,076,682,924","14,365,719,868","7,643,219,513","6,398,542,515","4,570,908,450","2,306,295,816","1,631,307,004","1,549,864,970.55","1,052,576,337.625","851,662,736.878","670,866,623.685","509,281,638.999","59,518,103.82",,,
2,		CashCashEquivalentsAndShortTermInvestments,"42,916,000,000","42,981,000,000","58,283,000,000","46,372,929,797","32,547,543,539","27,451,460,190","11,739,742,386","10,773,435,769","4,830,197,297","4,791,899,980","3,332,213,174","1,614,802,299","1,246,413,272","1,207,324,422.032","843,678,497.728","735,362,467.707","615,875,684.494","472,051,536.857","38,935,725.772",,"88,908,000",
3,			CashAndCashEquivalents,"18,096,000,000","19,923,000,000","21,530,000,000","18,242,991,687","18,434,681,251","19,215,674,674","5,300,887,799","7,138,344,814","3,421,532,962","3,503,428,418","2,153,935,111","1,434,618,382","1,069,827,364","1,065,947,506.708","843,678,497.728","735,362,467.707","615,875,684.494","472,051,536.857","38,935,725.772",,"88,908,000",
4,				CashFinancial,,,,,,,,,,,"2,153,935,111","1,434,618,382","1,069,827,364",,,,,,,,"88,908,000",
5,			OtherShortTermInvestments,"24,820,000,000","23,058,000,000","36,753,000,000","28,129,938,110","14,112,862,288","8,235,785,516","6,438,854,587","3,635,090,955","1,408,664,335","1,288,471,562","1,178,278,063","180,183,917","176,585,908","141,376,915.324",,,,,,,,
6,		Receivables,"8,899,000,000","13,417,000,000","8,861,000,000","5,592,426,752","5,701,604,831","4,405,340,553","1,942,082,292","1,624,169,365","1,304,823,458","794,030,889","624,765,477","422,866,970","277,314,477","273,150,331.412","154,177,924.555","64,068,446.055","35,477,750.237","29,556,513.714","16,582,169.727",,,
7,			AccountsReceivable,"4,119,000,000","7,661,000,000","5,668,000,000","4,559,052,701","4,624,818,322","3,150,768,364","1,826,765,949","1,518,230,029","983,804,403","789,036,329","621,548,849","420,579,005","274,302,454","261,058,290.928","136,572,760.245","63,466,154.881","35,418,495.239","28,944,766.707","13,971,056.343",,,
8,				GrossAccountsReceivable,"4,678,000,000","7,917,000,000","5,824,000,000","4,688,052,701","4,683,618,322","3,188,968,364","1,841,473,133","1,524,130,029","988,204,403",,,,,,,,,,,,,
9,				AllowanceForDoubtfulAccountsReceivable,"-559,000,000","-256,000,000","-156,000,000","-129,000,000","-58,800,000","-38,200,000","-14,707,184","-5,900,000","-4,400,000",,,,,,,,,,,,,
10,			AccruedInterestReceivable,,,,,"81,999,660","71,558,995","39,436,993","55,861,029","36,543,547",,,,,,,,,,,,,
11,			DuefromRelatedPartiesCurrent,"1,802,000,000","2,779,000,000","1,642,000,000","373,776,048","787,603,986","961,791,458","10,568,937","21,774,669","5,328,170","4,994,560",,,,,,,,,,,,
