,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps,location
0,2020,31/12/20,1/1/20,799000,-10206000,-9609000,14522000,10342000,0,1814000,,"YIELD10 BIOSCIENCE, INC.",1121702,9532000,-4.3,MA
1,2019,31/12/19,1/1/19,806000,-12956000,-8596000,16718000,11684000,0,2207000,,"YIELD10 BIOSCIENCE, INC.",1121702,-4085000,-35.5,MA
2,2018,31/12/18,1/1/18,556000,-9185000,-9319000,12960000,6377000,0,1641000,,"YIELD10 BIOSCIENCE, INC.",1121702,5698000,-36.99,MA
3,2017,31/12/17,1/1/17,944000,-9396000,-9283000,16882000,14917000,0,2375000,,"YIELD10 BIOSCIENCE, INC.",1121702,13502000,-3.29,MA
4,2016,31/12/16,1/1/16,1159000,-7604000,-10248000,10748000,7860000,0,2758000,,"YIELD10 BIOSCIENCE, INC.",1121702,6369000,-2.73,MA
5,2015,31/12/15,1/1/15,1350000,-23681000,-12469000,17088000,14850000,51000,3910000,,"YIELD10 BIOSCIENCE, INC.",1121702,13028000,-0.95,MA
6,2014,31/12/14,1/1/14,2800000,-29534000,-26829000,23135000,21965000,586000,4189000,,"YIELD10 BIOSCIENCE, INC.",1121702,18796000,-2.88,MA
7,2013,31/12/13,1/1/13,5394000,-30506000,-28540000,26738000,25231000,1921000,6195000,,"METABOLIX, INC.",1121702,20398000,-5.31,MA
8,2012,31/12/12,1/1/12,42316000,3630000,3929000,53510000,48955000,3204000,5984000,,"METABOLIX, INC.",1121702,47340000,0.11,MA
9,2011,31/12/11,1/1/11,1425000,-38785000,-38861000,82912000,78439000,0,7165000,,"METABOLIX, INC.",1121702,39463000,-1.24,MA
10,2010,31/12/10,1/1/10,448000,-38803000,-38939000,66771000,63256000,0,6395000,,"METABOLIX, INC.",1121702,23676000,-1.45,MA
11,2009,31/12/09,1/1/09,1425000,-37957000,-38729000,97554000,93353000,0,4562000,,"METABOLIX, INC.",1121702,55044000,-1.62,MA
12,2008,31/12/08,1/1/08,1555000,-36005000,-38892000,96946000,91841000,0,4610000,,"METABOLIX, INC.",1121702,59091000,-1.58,MA
13,2007,31/12/07,1/1/07,1683000,-27875000,-33816000,119004,111546000,0,4659000,,,1121702,89202000,-1.27,MA
14,2006,31/12/06,1/1/06,4590000,-16062000,-17524000,127596000,123400000,0,3221000,,,1121702,109588000,-2.96,MA
15,2005,31/12/05,1/1/05,2781000,-7625000,-7024000,7325000,3759000,0,2973000,,,1121702,-46558000,-2.56,MA
,,,,,,,,,,,,,1121702,,,MA
