,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps,location
0,2020,1/1/20,31/12/20,4642100000,550600000,902200000,10186400000,4375600000,1095600000,2829000000,2929500000,2961800000,FMC CORPORATION,37785,4.24,PA
1,2019,1/1/19,31/12/19,4609800000,480200000,821600000,9872700000,4074800000,1017000000,2723900000,3031100000,2532300000,FMC CORPORATION,37785,3.64,PA
2,2018,1/1/18,31/12/18,4727800000,502100000,880500000,9974300000,4030200000,1097300000,2993400000,2179000000,3210400000,FMC CORPORATION,37785,3.72,PA
3,2017,1/1/17,31/12/17,2878600000,538400000,259800000,9206300000,3652700000,992500000,2209400000,2993000000,2707100000,FMC CORPORATION,37785,3.99,PA
4,2016,1/1/16,31/12/16,3282400000,211700000,421500000,6139300000,2849200000,703500000,1438200000,1798800000,1993000000,FMC CORPORATION,37785,1.56,PA
5,2015,1/1/15,31/12/15,3276500000,498500000,-50200000,6325900000,2971900000,800200000,1453300000,2036300000,1908300000,FMC CORPORATION,37785,3.66,PA
6,2014,1/1/14,31/12/14,4037700000,322100000,545400000,5340500000,2934400000,636500000,1910400000,1153400000,1564000000,FMC CORPORATION,37785,2.3,PA
7,2013,1/1/13,31/12/13,3874800000,308000000,659000000,5235200000,2945000000,688400000,1986700000,1154100000,1519800000,FMC CORPORATION,37785,2.16,PA
8,2012,1/1/12,31/12/12,3748300000,435700000,658200000,4373900000,2181900000,675700000,1135500000,908800000,1480300000,FMC CORPORATION,37785,3.01,PA
9,2011,1/1/11,31/12/11,3377900000,382200000,587400000,3743500000,1869400000,470300000,919900000,779100000,1240600000,FMC CORPORATION,37785,2.57,PA
10,2010,1/1/10,31/12/10,3116300000,184900000,387100000,3319900000,1646200000,347800000,963400000,503000000,1131500000,FMC CORPORATION,37785,1.19,PA
11,2009,1/1/09,31/12/09,2826200000,228500000,334700000,3136200000,1487700000,350500000,709200000,588000000,1076400000,FMC CORPORATION,37785,3.15,PA
12,2008,1/1/08,31/12/08,,304600000,500700000,2993900000,1432800000,380800000,759100000,592900000,902900000,FMC Corporation,37785,4.1,PA
13,2007,1/1/07,31/12/07,,132400000,228000000,,,,,,,FMC Corporation,37785,1.74,PA
