,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,1/1/21,38374000,-20168000,-17195000,81197000,34260000,6618000,24228000,11479000,"Marrone Bio Innovations, Inc.",1441693,31410000,-0.14
1,2019,1/1/20,29373000,-37175000,-27985000,72717000,21716000,8149000,21085000,11847000,"Marrone Bio Innovations, Inc.",1441693,23558000,-0.32
2,2018,1/1/19,21220000,-20213000,-19504000,46567000,30136000,8224000,11319000,11819000,MARRONE BIO INNOVATIONS INC,1441693,12936000,-0.2
3,2017,1/1/18,18167000,-30925000,-22995000,36913000,19118000,9827000,22002000,24407000,MARRONE BIO INNOVATIONS INC,1441693,-50651000,-1.06
4,2016,1/1/17,14042000,-31071000,-23660000,45983000,26875000,8482000,15249000,21083000,MARRONE BIO INNOVATIONS INC,1441693,-30184000,-1.26
5,2015,1/1/16,9801000,-43728000,-39457000,71201000,35912000,9064000,12849000,21509000,MARRONE BIO INNOVATIONS INC,1441693,-2022000,-1.79
6,2014,1/1/15,9136000,-51659000,-48533000,77182000,54723000,12644000,31202000,9667000,MARRONE BIO INNOVATIONS INC,1441693,33231000,-2.32
7,2013,1/1/14,8446000,-31242000,-31719000,69918000,59751000,12717000,15530000,12280000,MARRONE BIO INNOVATIONS INC,1441693,39031000,-3.74
8,2012,1/1/13,7140000,-38794000,-23838000,33778000,27465000,4872000,38933000,7766000,MARRONE BIO INNOVATIONS INC,1441693,-74247000,-32.48
9,2011,1/1/12,5251000,-13180000,-13124000,,,,,,MARRONE BIO INNOVATIONS INC,1441693,-34100000,-10.64
10,2010,1/1/11,,,,,,,,,MARRONE BIO INNOVATIONS INC,1441693,-21204000,
